,Ingredient,Count,Traditional
0,olive oil,889,1
1,oregano,103,0
2,dry basil,1,0
3,garlic,1008,1
4,salt,711,1
5,pepper,135,0
6,chicken,680,1
7,shrimp,571,0
8,chorizo,178,0
9,yellow onions,82,0
10,green pepper,104,0
11,short grain white rice,310,1
12,chicken broth,496,0
13,tomatoes,706,1
14,powdered saffron,18,0
15,scallops,38,0
16,clams,83,0
17,mussels,299,0
18,pimientos,51,0
19,onion,750,0
20,asparagus,5,0
21,fresh peas,22,0
22,saffron,302,1
23,mushrooms,53,0
24,artichokes,31,0
25,boiling water,24,0
26,medium grain rice,4,0
27,long grain rice,73,0
28,cumin seeds,6,0
29,couscous,22,0
30,red bell pepper,277,0
31,baby shrimp,2,0
32,lime wedges,2,0
33,lemon,201,0
34,long-grain rice,39,0
35,green bell pepper,132,0
36,black pepper,71,0
37,smoked sausage,2,0
38,turmeric,94,0
39,converted rice,1,0
40,bell peppers,51,0
41,broth,14,0
42,tasso,3,0
43,frozen green pea,46,0
44,peas,120,0
45,saffron thread,273,0
46,rice pilaf mix,1,0
47,lobster,77,0
48,butter,85,0
49,fresh garlic,6,0
50,cooked rice,2,0
51,basil,17,0
52,italian sausage,38,0
53,crushed red pepper flakes,3,0
54,minute rice,2,0
55,medium shrimp,1,0
56,canola oil,15,0
57,red onion,46,0
58,frozen carrots,2,0
59,ground turmeric,58,0
60,cayenne pepper,64,0
61,dried parsley,1,0
62,garlic powder,8,0
63,dried oregano,1,0
64,green peas,64,0
65,water,215,1
66,ketchup,3,0
67,sweet onion,15,0
68,vegetable broth,44,0
69,minute white rice,1,0
70,fresh shrimp,6,0
71,yellow rice mix,1,0
72,tarragon vinegar,2,0
73,curry powder,11,0
74,white pepper,11,0
75,celery,44,0
76,diced pimentos,1,0
77,lettuce leaf,1,0
78,small shrimp,1,0
79,bay scallop,11,0
80,cornstarch,9,0
81,tabasco sauce,5,0
82,littleneck clams,60,0
83,parsley,246,0
84,kosher salt,113,0
85,dry white wine,5,0
86,lemon juice,82,0
87,leek,10,0
88,bay leaf,153,0
89,sweet paprika,51,0
90,short-grain rice,45,0
91,manila clams,12,0
92,white wine,235,0
93,ham steak,3,0
94,italian tomatoes,3,0
95,thyme,114,0
96,paprika,314,1
97,nutmeg,6,0
98,fresh parsley,60,0
99,frozen shrimp,9,0
100,oregano flakes,3,0
101,dried thyme,1,0
102,bouillon,1,0
103,mustard seeds,1,0
104,star anise,1,0
105,clove,2,0
106,brown sugar,8,0
107,fresh coriander leaves,1,0
108,white wine vinegar,5,0
109,green chili,1,0
110,cinnamon,8,0
111,fresh ginger,2,0
112,mint,2,0
113,ground lamb,1,0
114,ras el hanout spice mix,1,0
115,ground cloves,6,0
116,orange bell peppers,6,0
117,honey,6,0
118,raisins,3,0
119,cooked white rice,1,0
120,pitted black olives,1,0
121,anchovy fillets,2,0
122,capers,26,0
123,dijon mustard,1,0
124,tomato puree,13,0
125,fresh thyme,5,0
126,flat leaf parsley,33,0
127,poblano chiles,5,0
128,brown rice,29,0
129,carrots,78,0
130,zucchini,40,0
131,red capsicum,2,0
132,tomato paste,49,0
133,fresh ground black pepper,16,0
134,broccoli,9,0
135,cauliflower,11,0
136,spanish onion,32,0
137,flour,20,0
138,cod fish fillet,1,0
139,squid,11,0
140,sea salt,1,0
141,artichoke hearts,4,1
142,dried rosemary,1,0
143,clams in shell,1,0
144,basmati rice,15,0
145,green beans,62,0
146,fresh ground pepper,9,0
147,large shrimp,2,0
148,scallions,42,0
149,saffron strands,14,0
150,baby clams,4,0
151,lima beans,5,0
152,green onion,41,0
153,cumin,13,0
154,parmesan cheese,17,0
155,shallots,40,0
156,pine nuts,6,0
157,smoked link sausage,1,0
158,black olives,22,0
159,green olives,40,0
160,beer,2,0
161,rosemary,25,1
162,ground cumin,29,0
163,calrose rice,1,0
164,lemon wedges,74,0
165,yellow rice,11,0
166,rabbit,19,1
167,pork,25,0
168,pork chops,9,0
169,medium scallops,1,0
170,frozen peas,268,0
171,packets,4,0
172,pimentos,35,0
173,chicken breast cubes,1,0
174,long-grain white rice,24,0
175,ground red pepper,13,0
176,ground saffron,18,0
177,red pepper,233,0
178,red chili pepper,6,0
179,italian plum,3,0
180,freshly ground pepper,18,0
181,crab,7,0
182,bulk sausage,1,0
183,pork shoulder,3,0
184,spanish sausages,3,0
185,sazan,1,0
186,threads of saffron,3,0
187,shell,14,0
188,sweet italian sausage,6,0
189,olive,29,0
190,chicken drumsticks,4,0
191,regular rice,8,0
192,safflower oil,2,0
193,boneless pork butt,1,0
194,ham,34,0
195,arborio-style rice,1,0
196,oil,40,0
197,lemon slices,5,0
198,crab claws,4,0
199,skinless,14,0
200,red sweet pepper,4,0
201,hearts,48,0
202,sausages,143,0
203,rice pilaf,2,0
204,avocado,7,0
205,light vegetable oil cooking spray,1,0
206,arborio rice,101,0
207,banana pepper,3,0
208,yellow bell pepper,20,0
209,squid rings,7,0
210,sweet yellow onion,3,0
211,in shells,4,0
212,fresh fish,2,0
213,vegetable bouillon,2,0
214,tomato juice,2,0
215,chickpeas,16,0
216,cooking oil,7,0
217,live lobster,8,0
218,freshly ground black pepper,49,0
219,eggplant,6,0
220,shortening,1,0
221,frozen artichoke,6,0
222,garbanzo beans,11,0
223,saffron and/or,2,0
224,garlic salt,5,0
225,tomato sauce,26,0
226,short grain rice,17,0
227,sausage links,2,0
228,cayenne,12,0
229,vinegar,3,0
230,coriander,8,0
231,black cracked pepper,1,0
232,picante sauce,1,0
233,spanish chorizo sausage,3,0
234,cured ham,2,0
235,red pimientos,2,0
236,crab meat,7,0
237,oysters,9,0
238,corn oil,3,0
239,gallon of red burgundy wine,1,0
240,orange juice,4,0
241,brandy,4,0
242,lemon soda,1,0
243,apples,2,0
244,oranges,4,0
245,regular long grain rice,1,0
246,red pimento,3,0
247,pork ribs,3,0
248,wine,2,0
249,' seasoning,1,0
250,uncle ben,4,0
251,pepperoni,10,0
252,pearl onions,4,0
253,chicken chunks,1,0
254,muscles,5,0
255,desire,1,0
256,neck clams,4,0
257,spanish olive oil,8,0
258,warm cooked rice,1,0
259,pineapple,10,0
260,syrup from pineapple,1,0
261,frozen cooked shrimp,4,0
262,mayonnaise,13,0
263,vegetable oil,51,0
264,salad,2,0
265,caroline,1,0
266,crisp salad greens,1,0
267,crab legs,2,0
268,spanish saffron,2,0
269,ham strips,1,0
270,salad oil,3,0
271,chicken pieces,3,0
272,saffron rice,13,0
273,pimento strips,2,0
274,chorizo sausages,17,0
275,valencia rice,11,0
276,bijol,2,0
277,crust pie pastry,1,0
278,eggs,36,0
279,ricotta cheese,1,0
280,marjoram,4,0
281,mozzarella cheese,1,0
282,all-purpose,5,0
283,ground oregano,2,0
284,spanish style green olives,1,0
285,cherry tomatoes,8,0
286,dressing,1,0
287,green shrimp,1,0
288,packets sazon,3,0
289,chicken flavor,2,0
290,red kidney beans,1,0
291,hot sauce,7,0
292,pork loin,8,0
293,spanish mackerel,1,0
294,sweet green,1,0
295,paella rice,40,0
296,prawns,58,0
297,fresh scallops,1,0
298,sweet sausage,3,0
299,orzo,7,0
300,hot pepper sauce,4,0
301,cayenne red pepper,2,0
302,mandarins,1,0
303,burgundy,1,0
304,sugar,15,0
305,firm fleshed whitefish,1,0
306,cornmeal,2,0
307,coarse salt,2,0
308,pork sausage,6,0
309,paella,19,0
310,long grain converted rice,1,0
311,red sweet bell peppers,2,0
312,vegetables,16,0
313,shellfish,1,0
314,red cayenne pepper,1,0
315,italian sausage links,2,0
316,ready-,1,0
317,cooking rice,1,0
318,red,20,0
319,green,8,0
320,frozen broccoli,2,0
321,parmesan,4,0
322,uncle ben's rice,1,0
323,campbell's chicken broth,1,0
324,whole clams,2,0
325,chicken bouillon,4,0
326,sweet red,2,0
327,fish,32,0
328,ground pepper,5,0
329,shell clams,1,0
330,italian pork sausage,1,0
331,chicken bouillon cubes,2,0
332,ready,1,0
333,pork meat,1,0
334,clear chicken broth,1,0
335,polska kielbasa sausage,1,0
336,rice +,1,0
337,sweet peas,9,0
338,dry wine,2,0
339,stalks asparagus,2,0
340,bacon,23,0
341,regular strength chicken broth,1,0
342,instant rice,4,0
343,with juice,1,0
344,wet pack,1,0
345,cooked giblets,1,0
346,italian,4,0
347,stalks celery,9,0
348,lemon pepper,1,0
349,string beans,6,0
350,frozen lesueur peas,1,0
351,spanish paprika,15,0
352,spanish,11,0
353,thighs,3,0
354,italian stewed tomatoes,1,0
355,clam juice,34,0
356,pitted ripe olives,1,0
357,tomato wedges,1,0
358,sherry,19,0
359,cocktail sausages,1,0
360,mixed vegetables,7,0
361,tarragon,10,0
362,hearts mushrooms,1,0
363,big clams,1,0
364,turkey,8,0
365,campbell's condensed,1,0
366,cook chicken,1,0
367,fresh clams,11,0
368,broiler-fryer chicken pieces,1,0
369,instant chicken,1,0
370,clean raw,1,0
371,tomato broth,2,0
372,long grain brown rice,6,0
373,kidney beans,3,0
374,fryer chicken,2,0
375,haddock,2,0
376,head,3,0
377,fresh oregano,8,0
378,red snapper,8,0
379,threads,45,0
380,calamari rings,2,0
381,jumbo shrimp,28,0
382,chicken tenders,8,0
383,stalk celery,1,0
384,jalapeno peppers,4,0
385,cilantro,31,0
386,rice mix,1,0
387,crawfish,4,0
388,cauliflower rice,1,0
389,ground black pepper,23,0
390,chicken sausage,9,0
391,ground cayenne pepper,2,0
392,snow peas,7,0
393,pork spareribs,2,0
394,onion strips,1,0
395,white quinoa,1,0
396,parsley flakes,1,0
397,spanish paella rice,2,0
398,spanish sweet paprika,3,0
399,roma,1,0
400,fresh italian parsley,8,0
401,baguette,2,0
402,boiling chicken broth,1,0
403,short-grain,5,0
404,butter beans,4,1
405,spanish chorizo,49,0
406,spanish smoked paprika,6,0
407,short-grain brown rice,4,0
408,apple cider vinegar,1,0
409,bella mushrooms,1,0
410,steamer clams,2,0
411,salmon fillet,2,0
412,frozen petite peas,2,0
413,spanish rice,10,0
414,pan,2,0
415,chili powder,6,0
416,paella pan,9,0
417,serrano peppers,2,0
418,fresh cilantro,23,0
419,fresh romano,1,0
420,seafood stock,8,0
421,baby squid,7,0
422,blend,1,0
423,steamfresh\u00ae,1,0
424,swanson,2,0
425,salsa,5,0
426,turkey kielbasa,5,0
427,saffron broth,1,0
428,hot paprika,5,0
429,marcona almonds,2,0
430,pancetta,6,0
431,green cabbage,2,0
432,bean sprouts,1,0
433,white onions,21,0
434,soy sauce,5,0
435,teriyaki sauce,1,0
436,ginger powder,1,0
437,virgin olive oil,2,0
438,egg roll wraps,1,0
439,jasmine rice,5,0
440,ginger,12,0
441,water chestnut,3,0
442,mango,9,0
443,papaya,4,0
444,oats,1,0
445,nuts,8,0
446,chicken breast halves,3,0
447,unsalted butter,11,0
448,frozen chopped onions,1,0
449,shiitake mushrooms,4,0
450,valencian short-grain rice,1,0
451,achiote paste,1,0
452,yellow tomatoes,1,0
453,cilantro leaf,1,0
454,chick-peas,1,0
455,grain rice,22,0
456,vegetable stock,30,0
457,ingredients,3,0
458,could,2,0
459,fish stock,18,0
460,sweet peppers,4,0
461,fennel seed,4,0
462,calasparra rice,6,0
463,monk fish fillet,1,0
464,orzo pasta,8,0
465,stock,6,0
466,rough chopped zucchini,1,0
467,rough chopped,2,0
468,handful,9,0
469,beans,24,0
470,chiles,3,0
471,silver tequila,1,0
472,vegetable soup,1,0
473,previously cooked frozen shrimp,1,0
474,good-quality,1,0
475,ground coriander,11,0
476,italian rice,1,0
477,fresh green peas,6,0
478,coriander powder,1,0
479,cooking sherry,2,0
480,clam broth,2,0
481,pimento stuffed olive,4,0
482,live clams,1,0
483,cockles,6,0
484,piquillo peppers,10,0
485,yellow pepper,11,0
486,fresh cracked pepper,1,0
487,loin lamb,1,0
488,fresh mussels,8,0
489,italian parsley,15,0
490,spanish olives,5,0
491,cajun seasoning,6,0
492,heavy cream,2,0
493,fresh chives,4,0
494,shrimp shells,1,0
495,gallon water,3,0
496,peppercorns,5,0
497,andouille sausages,9,0
498,sugar snap pea,5,0
499,manila,9,0
500,chicken quarters,1,0
501,fresh green beans,4,0
502,ham hocks,5,0
503,peeled shrimp,2,0
504,linguica sausage,4,0
505,razor clam,1,0
506,baby green peas,1,0
507,sofrito sauce,1,0
508,gilthead,1,0
509,tomato-based pasta sauce,1,0
510,shrimp stock,1,0
511,crabmeat,1,0
512,quinoa,12,0
513,frozen lima beans,2,0
514,cannellini beans,2,0
515,fresh tarragon,1,0
516,white clams,1,0
517,cooking spray,5,0
518,fully cooked chorizo sausage,1,0
519,frozen baby peas,5,0
520,rotisserie,1,0
521,chourico,1,0
522,rose wine,2,0
523,long grain white rice,11,0
524,coconut milk,4,0
525,catfish,1,0
526,sweet red pepper,23,0
527,sweet green pepper,2,0
528,corn kernels,5,0
529,seeded jalapeno,1,0
530,calamari,27,0
531,habanero sauce,1,0
532,wild rice,2,0
533,cornish hen,1,0
534,broiler-fryer chickens,1,0
535,lean pork,3,0
536,condensed chicken broth,1,0
537,pork tenderloin,7,0
538,regular uncooked rice,1,0
539,low-fat chicken broth,1,0
540,baby peas,3,0
541,bouillon cube,2,0
542,italian plum tomatoes,3,0
543,spanish smoked style chorizo sausage,1,0
544,instant brown rice,4,0
545,white lima beans,1,0
546,red sweet paprika,1,0
547,chili flakes,2,0
548,seafood,4,0
549,lime,8,0
550,portion,1,0
551,fresh spanish chorizo,2,0
552,combination,1,0
553,medium-grain valencia arborio rice,1,0
554,egg yolks,13,0
555,rings,9,0
556,peanut oil,4,0
557,italian seasoning,7,0
558,english pea,1,0
559,bass fillet,1,0
560,green chilies,2,0
561,shrimp paste,1,0
562,authentico olive oil,1,0
563,sweet spanish paprika,2,0
564,cayenne powder,1,0
565,liter,2,0
566,roasted red pepper,1,0
567,sesame oil,2,0
568,gingerroot,3,0
569,fideos,3,0
570,chives,8,0
571,fresh swordfish,1,0
572,macaroni shells,1,0
573,hot italian sausage,1,0
574,freshly grated parmesan cheese,1,0
575,chicken chorizo sausage,2,0
576,cremini mushrooms,5,0
577,kielbasa,7,0
578,pumpkin,1,0
579,ground nutmeg,1,0
580,drizzle olive oil,1,0
581,brine,1,0
582,firm white fish,1,0
583,spring onions,2,0
584,yellow food coloring,2,0
585,skirt steak,1,0
586,almonds,15,0
587,beef broth,4,0
588,spinach leaves,1,0
589,pureed ripe tomatoes,1,0
590,sweet pimientos,1,0
591,bomba,11,0
592,green sweet pepper,2,0
593,fluid ounces vegetable stock,1,0
594,pasta,3,0
595,quartered artichoke hearts,1,0
596,risotto rice,5,0
597,salami,5,0
598,egg wash,1,0
599,milk,10,0
600,bread,3,0
601,fresh corn,1,0
602,dill,3,0
603,lengths,5,0
604,chicken thigh,12,0
605,powdered sugar,5,0
606,lingonberry preserves,1,0
607,whipped cream,1,0
608,kingklip,1,0
609,frying chickens,1,0
610,short grain spanish,2,0
611,warm water,1,0
612,yellow sweet pepper,1,0
613,roma tomato,1,0
614,enriched white rice,1,0
615,fresh spring thyme,1,0
616,crusty bread,5,0
617,frozen seafood,2,0
618,saffron dressing,1,0
619,syrup,2,0
620,rice wine vinegar,1,0
621,nama shoyu,1,0
622,chili pepper,2,0
623,frozen artichoke heart,2,0
624,cheddar cheese,2,0
625,onion soup,2,0
626,corn,8,0
627,short-grain white rice,7,0
628,stalks lemongrass,2,0
629,fruit,3,0
630,rum,4,0
631,cumin powder,1,0
632,fish fillet,2,0
633,bodies,7,0
634,quail,2,0
635,red wine,6,0
636,duck confit,1,0
637,spinach,3,0
638,white fish,10,0
639,sweet smoked paprika,3,0
640,brown onions,2,0
641,ground cinnamon,7,0
642,phyllo dough,1,0
643,claws,1,0
644,azafran,1,0
645,tuna,3,0
646,soy sausage,2,0
647,yellow squash,2,0
648,well-flavored chicken stock,1,0
649,chicken bouillon granules,1,0
650,bay seasoning,1,0
651,fresh sugar snap pea,1,0
652,fresh lemons,1,0
653,broccoli florets,6,0
654,manchego cheese,1,0
655,valencian rice,1,0
656,pasta spirals,2,0
657,rosemary sprigs,3,0
658,king prawns,6,0
659,olive oil +,1,0
660,kalamata olives,1,0
661,flat-leaf parsley,13,0
662,dried chili flakes,1,0
663,cold cooked,1,0
664,cured chorizo sausages,1,0
665,long red chili pepper,1,0
666,lemon peel,1,0
667,semi-sweet sherry,1,0
668,handful fresh parsley,2,0
669,pork steak,1,0
670,turkey sausages,6,0
671,salami slices,1,0
672,cod fillet,1,0
673,medium grain white rice,1,0
674,threads saffron,3,0
675,chicken fillet,2,0
676,mixed seafood,1,0
677,capsule ground saffron,1,0
678,vermicelli,2,0
679,links chorizo,2,0
680,rotisserie chicken,2,0
681,brown basmati rice,1,0
682,sofrito,4,0
683,crumbled saffron threads,9,0
684,chop clams,1,0
685,chili,2,0
686,lamb susage,1,0
687,safron,2,0
688,cod,6,0
689,canned chickpeas,1,0
690,\u00bc,12,0
691,medium-grain spanish,1,0
692,spanish piment\u00f3n,2,0
693,simmering chicken,1,0
694,intact,1,0
695,lemon juice $,1,0
696,olive oil $,1,0
697,meat,4,0
698,liquid,1,0
699,short,6,0
700,\u00be,2,0
701,lump crab meat,1,0
702,handful of italian parsley,1,0
703,jalepeno,2,0
704,balsamic vinegar,6,0
705,chinese black vinegar,2,0
706,white beans,5,0
707,serving pieces,1,0
708,minutes,1,0
709,low-sodium,6,0
710,t,5,0
711,veggie broth +,1,0
712,handfuls of baby spinach,1,0
713,cheese,4,0
714,piment\u00f3n,1,0
715,rice - arborio,1,0
716,fillet,4,0
717,clove of garlic,2,0
718,jalapenos,3,0
719,cholula,1,0
720,chardonnay,1,0
721,i,3,0
722,sour cream,2,0
723,black,2,0
724,black beans,4,0
725,jumbo scampi,1,0
726,sherry vinegar,3,0
727,snapper,1,0
728,tubes,2,0
729,lemon aspen,1,0
730,red desert,1,0
731,outback salt,1,0
732,links andouille sausage,1,0
733,will,1,0
734,squid body only,1,0
735,cherrystone clams,2,0
736,bomba rice,14,0
737,cherrystone,1,0
738,saffron powder,3,0
739,yellow spanish rice,1,0
740,octopus,5,0
741,tspn chili flakes,1,0
742,ground mace,1,0
743,phyllo,4,0
744,# venison backstrap,1,0
745,duck bone out,1,0
746,rabbit tender,1,0
747,lemon rind,1,0
748,warm stock,1,0
749,chuncks,1,0
750,homemade soffrito,1,0
751,sazon completa seasoning,1,0
752,handful fresh cilantro,1,0
753,hot spanish paprika,2,0
754,grain spanish,1,0
755,short-grain spanish rice,4,0
756,short-grain paella rice,2,0
757,pearl,1,0
758,total,2,0
759,diameter,1,0
760,parsley sprigs,2,0
761,special,1,0
762,cooking brown rice,1,0
763,fresh squid,3,0
764,corn - kernels,1,0
765,taco,1,0
766,rice - short grain spanish,1,0
767,sausage - chorizo,1,0
768,adjust,1,0
769,aromatics,1,0
770,flavorful broth,1,0
771,picada,2,0
772,handful chopped culantro,1,0
773,ground tumeric,1,0
774,salmon,7,0
775,arborio,10,0
776,stalks,3,0
777,pollen spice blend,1,0
778,generous,14,0
779,rub for,1,0
780,short grained white rice,1,0
781,italian flat green beans,1,0
782,oloroso sherry,1,0
783,carrot chips,1,0
784,herbs,2,0
785,no-salt,3,0
786,open fire,1,0
787,spanish saffron threads,1,0
788,jalepeno peppers,1,0
789,onion powder,4,0
790,italian turkey sausage,1,0
791,beefsteak tomato,2,0
792,+,3,0
793,ramen noodles,1,0
794,handful of frozen peas,1,0
795,person,1,0
796,people,1,0
797,winter,2,0
798,head of cauliflower,1,0
799,pequillo,1,0
800,low-salt,2,0
801,mix,2,0
802,cauliflower florets,3,0
803,veggie stock,1,0
804,oyster mushrooms,1,0
805,valencia,9,0
806,seitan sausage,1,0
807,of fresh,1,0
808,long grain,2,0
809,thin pasta,1,0
810,batch,1,0
811,rounds,1,0
812,lowsodium,1,0
813,leaf,1,0
814,tbl,1,0
815,spice rub for,1,0
816,salt pepper,2,0
817,necessary,2,0
818,fennel bulbs,8,0
819,pastis,1,0
820,fresh parsely,1,0
821,vodka,1,0
822,light cream,1,0
823,black fetuccini,1,0
824,salmon fetuccini,1,0
825,kosher,3,0
826,fresh basil,3,0
827,saffron vinaigrette,1,0
828,spanish sherry vinegar,1,0
829,cured serrano,1,0
830,spray,2,0
831,baking sheets,1,0
832,stalks green garlic,1,0
833,slender,1,0
834,spanish bomba,1,0
835,kept,1,0
836,andeluie sausages,1,0
837,chicken stock/broth,1,0
838,baby octopus,1,0
839,black mussels,10,0
840,pork longaniza,1,0
841,fideo noodles,1,0
842,sweet spanish,3,0
843,grill,1,0
844,baby artichokes,2,0
845,frozen small peas,1,0
846,mezcal,1,0
847,fresh mushrooms,1,0
848,chilli powder,1,0
849,fresh coriander,3,0
850,yoghurt,1,0
851,garam masala,2,0
852,heriloom,1,0
853,handful italian parsley,1,0
854,carnaroli rice,6,0
855,handful slivered almonds,1,0
856,blanched almonds,2,0
857,sweet piment\u00f3n,2,0
858,short grain brown rice,1,0
859,red chile flakes,1,0
860,shitake,1,0
861,your favorite,1,0
862,tomatos,1,0
863,tail meat,2,0
864,freshly squeezed lemon juice,4,0
865,lemon zest,10,0
866,freshly ground white,1,0
867,paella with saffron rice,1,0
868,grain white rice,2,0
869,chicken seasoning mix,1,0
870,smoky paprika,1,0
871,short grain spanish rice,2,0
872,langoustines,7,0
873,red piquillo peppers,1,0
874,head of garlic,1,0
875,currants,3,0
876,aleppo pepper,2,0
877,white firm fish,1,0
