,Ingredient,Count,Traditional
878,sweet red bell peppers,14,0
879,tentacles,1,0
880,extra colossal prawns,1,0
881,while edible,1,0
882,thin noodles,1,0
883,bottoms,3,0
884,again,1,0
885,batter,1,0
886,cream,1,0
887,filling,1,0
888,drizzle of olive oil,1,0
889,goat cheese,1,0
890,succulent cooked roast,1,0
891,duck skin,1,0
892,red cippolini onions,1,0
893,red heirloom tomatoes,1,0
894,cherry jam,2,0
895,ground sumac,2,0
896,cherry fruit,1,0
897,cranberry beans,1,0
898,cherry ale,1,0
899,new mexico,1,0
900,links,2,0
901,ground thyme,1,0
902,ground cayenne,1,0
903,sumac,2,0
904,sweet potato phyllo torte,1,0
905,sweet potatoes,1,0
906,potatoes,2,0
907,generous grindings,1,0
908,handful handful,1,0
909,bowl of olive oil,1,0
910,breadcrumbs,1,0
911,nut cream,1,0
912,fennel,2,0
913,bream,1,0
914,red poblanos,1,0
915,veggie,1,0
916,marsala wine,1,0
917,handfuls cilantro,1,0
918,caramelized walnuts,1,0
919,yellow food colorant,1,0
920,mixed herbs,2,0
921,piment d\u2019espelette,1,0
922,herbs - parsley,1,0
923,grape leaves,1,0
924,fresh portuguese,1,0
925,cured spanish,1,0
926,robust chicken,1,0
927,fish sauce,3,0
928,sivaris bomba paella rice,1,0
929,handful parsley,4,0
930,bhutan red,1,0
931,hearts of palm,1,0
932,threads of safron,1,0
933,store-bought,1,0
934,store-bought fish,1,0
935,fresh curly parsley,1,0
936,cuttlefish,2,0
937,squid bodies,2,0
938,store-bought sofrito,1,0
939,caramelized onions,1,0
940,store-bought aioli,1,0
941,fava beans,3,0
942,helix snails,1,0
943,blossoms,1,0
944,mixed green,1,0
945,walnut halves,1,0
946,picholine olives,1,0
947,oil-cured black olives,1,0
948,handful mixed seasonings,1,0
949,spanish style bomba rice,1,0
950,chive spoon,1,0
951,lime juice,5,0
952,fresh mint,2,0
953,grape,1,0
954,balsmatic rice,1,0
955,fennel head,1,0
956,brussel sprouts,1,0
957,butternut squash,2,0
958,parsnip,2,0
959,chick peas,3,0
960,thin,1,0
961,white currants,1,0
962,hot red pepper,2,0
963,wild prawns,1,0
964,fresh chorizo,4,0
965,beefsteak tomatoes,1,0
966,cilantro stems,1,0
967,oil cured black olives,1,0
968,rough chopped celery,1,0
969,rough chopped carrot,1,0
970,orange zest,1,0
971,baby spinach,5,0
972,natural yoghurt,1,0
973,saffron threads-,1,0
974,red bell,1,0
975,green bell,1,0
976,spanish short grain rice,3,0
977,accompaniment,3,0
978,glass,1,0
979,cuts,1,0
980,evoo,6,0
981,chili pequin,1,0
982,ahumado,1,0
983,pork chorizo,1,0
984,wild mushrooms,4,0
985,walnuts,2,0
986,anchovies,3,0
987,spring peas,1,0
988,garlic puree,1,0
989,cooking brandy,1,0
990,only,3,0
991,celery stalk,3,0
992,white spanish onion,1,0
993,canola-olive oil,1,0
994,\u00f1ora pepper,1,0
995,green chiles,1,0
996,packets saffron,1,0
997,coffee,1,0
998,saussage,1,0
999,red tomatoes,1,0
1000,anise liquor,1,0
1001,spanish bomba rice,1,0
1002,peaches,1,0
1003,piment,7,0
1004,light olive oil,1,0
1005,fleur de sel,1,0
1006,handful of lemon verbena leaves,1,0
1007,arcun,1,0
1008,matsutake mushrooms,1,0
1009,sake,2,0
1010,bamboo rice,1,0
1011,chard,4,0
1012,frozen corn,4,0
1013,swiss chard,3,0
1014,swiss chard stalks,1,0
1015,yogurt,1,0
1016,white asparagus,4,0
1017,links of merguez sausage,1,0
1018,caraway,1,0
1019,harissa,1,0
1020,fresh tomatoes,3,0
1021,cornish game hen,1,0
1022,thin slices of applewood smoked bacon,1,0
1023,boudin noir,1,0
1024,pepitas,1,0
1025,chile powder,1,0
1026,granny smith apples,1,0
1027,handful of cilantro,1,0
1028,frozen broad beans,1,0
1029,preserved lemons,1,0
1030,sticks,1,0
1031,winesap apple,1,0
1032,gruy\u00e8re,1,0
1033,soffritto,1,0
1034,ancho pepper,1,0
1035,jasmin rice,1,0
1036,white,1,0
1037,paella broth,1,0
1038,ground tomatos,1,0
1039,paella de peix,1,0
1040,clam stock,1,0
1041,burbot,1,0
1042,handful green olives,1,0
1043,tomato pur\u00e9e,1,0
1044,bouquet guarni_,1,0
1045,saffron flowers,1,0
1046,handful freshly ground mondego cheese,1,0
1047,fresh heirloom tomatoes,1,0
1048,other seasonings,1,0
1049,assemble the paella,1,0
1050,alioli,1,0
1051,oil olive,1,0
1052,noodles,2,0
1053,boil-,1,0
1054,edamame,2,0
1055,kielbasa sausage,3,0
1056,kernel corn,1,0
1057,frozen petite sweet green peas,1,0
1058,linguisa,1,0
1059,ground dried turmeric,2,0
1060,white-fleshed fish,1,0
1061,slivered green onions,1,0
1062,\u2019s,1,0
1063,feathery greens,1,0
1064,spanish fino sherry,1,0
1065,frozen sweet peas,3,0
1066,center,2,0
1067,grouper,3,0
1068,skinless squid,1,0
1069,capellini pasta,1,0
1070,steaming,1,0
1071,pouches,1,0
1072,frozen petite green peas,3,0
1073,extravirgin olive oil,2,0
1074,flat-leaf,15,0
1075,new,1,0
1076,white arborio,1,0
1077,tricolor bell pepper,1,0
1078,hot water,1,0
1079,soy chorizo,2,0
1080,spaghetti,1,0
1081,sweet,2,0
1082,spanish short,2,0
1083,chablis,2,0
1084,butifarra sausages,1,0
1085,morcilla sausages,1,0
1086,sweet pimenton,7,0
1087,chipotle chile,2,0
1088,fresh corn kernels,1,0
1089,handful of woody herb sprigs,1,0
1090,mushroom stock,2,0
1091,kale,2,0
1092,calabrian chile oil,1,0
1093,black peppercorns,2,0
1094,baking powder,1,0
1095,golden raisins,2,0
1096,pearl sugar,1,0
1097,frozen sweet green peas,1,0
1098,frozen small green peas,1,0
1099,lump crabmeat,2,0
1100,crawfish meat,1,0
1101,cracked black pepper,1,0
1102,coloring,1,0
1103,red-pepper,2,0
1104,fresh-ground black pepper,2,0
1105,regular,5,0
1106,sweet smoked spanish paprika,3,0
1107,spanish valenciano,1,0
1108,quarters,1,0
1109,chilies,4,0
1110,boiling hot,2,0
1111,sweet italian green peppers,1,0
1112,turkey breast,1,0
1113,fresh broccoli florets,1,0
1114,ready-to-,1,0
1115,mexicorn,1,0
1116,calendula petals,1,0
1117,bread crumbs,3,0
1118,vanilla,1,0
1119,confectioners sugar,2,0
1120,rice world,1,0
1121,spice paella,1,0
1122,margarine,4,0
1123,red chilies,1,0
1124,okra frozen,1,0
1125,chipotles,1,0
1126,knorr tomato,2,0
1127,octopus cooked,1,0
1128,knorr shrimp flavor,1,0
1129,monkfish,6,0
1130,casing chorizo,1,0
1131,lemon zested,1,0
1132,baby,2,0
1133,shrimp cocktail,1,0
1134,broth good,1,0
1135,bone,1,0
1136,fresh chorizo links,1,0
1137,parsley stems,1,0
1138,saffron +,1,0
1139,lemon optional,1,0
1140,broth tetra,1,0
1141,handful butter,1,0
1142,handful garbanzo chick beans,1,0
1143,country,1,0
1144,knorr pasta,1,0
1145,petite peas,3,0
1146,rice mix saffron,1,0
1147,world style pasta sauce,1,0
1148,seasoning,2,0
1149,lard,1,0
1150,sweet pea green,1,0
1151,chilli green,1,0
1152,cracked pepper,1,0
1153,seafood marinara,1,0
1154,choice,5,0
1155,cabbage,2,0
1156,ham chicken,1,0
1157,natural yogurt,1,0
1158,apple vinegar,1,0
1159,pear,1,0
1160,frozen green beans,2,0
1161,chorizo links,2,0
1162,fiesta sides,2,0
1163,sausage spanish,2,0
1164,fish firm,1,0
1165,closed,1,0
1166,sazon seasoning with annatto,1,0
1167,sobrecitos,1,0
1168,spice,1,0
1169,sazon seasoning,1,0
1170,seasoning cajun,1,0
1171,serrano chili pepper,1,0
1172,stock you can,1,0
1173,sweetcorn,1,0
1174,courgette,2,0
1175,turmeric i,1,0
1176,rice paella,1,0
1177,haricot beans,1,0
1178,mixed spice,1,0
1179,sausage andouille best,1,0
1180,rice paella rice,1,0
1181,saffron spanish,1,0
1182,fresh fava beans,2,0
1183,saffron crushed,1,0
1184,jambalaya mix,1,0
1185,fish broth,1,0
1186,chicken chunked,1,0
1187,rice bomba,1,0
1188,peas frozen baby,1,0
1189,frozen peas thawed,1,0
1190,regular long-grain,1,0
1191,sauce,2,0
1192,frozen,1,0
1193,chile pepper,2,0
1194,white meat,1,0
1195,salt substitute herbal,1,0
1196,saffron ground,1,0
1197,shrimp broth,2,0
1198,ring of sausage,1,0
1199,italian dressing,10,0
1200,instant white rice,2,0
1201,turkey cutlets,1,0
1202,chilli,4,0
1203,california virgin olive oil,1,0
1204,purple chili pepper,1,0
1205,texmati rice,1,0
1206,hot-pepper sauce,1,0
1207,live maine lobster,1,0
1208,extra-virgin extra virgin olive oil,2,0
1209,jamon saran,1,0
1210,rice cooked,1,0
1211,bulb fennel,1,0
1212,japanese eggplant,1,0
1213,haricots verts,1,0
1214,piquillo,1,0
1215,yellow food color,1,0
1216,boiling fish,1,0
1217,pepper sauce,3,0
1218,weight sweet,1,0
1219,golden apples,1,0
1220,prunes,1,0
1221,pastry,2,0
1222,fries,1,0
1223,ground chicken,3,0
1224,grill seasoning,2,0
1225,pimiento peppers,2,0
1226,rolls,3,0
1227,romaine lettuce,2,0
1228,cream cheese,1,0
1229,crackers crackers,1,0
1230,cakebread cellars sauvignon,1,0
1231,spanish smoked sweet paprika,1,0
1232,shell-on,1,0
1233,medium-grain spanish rice,3,0
1234,ruby port,1,0
1235,short round rice,1,0
1236,cinnamon sticks,2,0
1237,quick-cooking rice,1,0
1238,pink beans,1,0
1239,annatto seeds,1,0
1240,cured chorizo,2,0
1241,head-on,2,0
1242,porcini,1,0
1243,quick-cooking brown rice,2,0
1244,fresh live mussels,1,0
1245,handful garden peas,1,0
1246,glass red wine,1,0
1247,chicken meat,2,0
1248,chillies,1,0
1249,hot pepper,3,0
1250,dried leaf oregano,1,0
1251,pilaf mix,1,0
1252,frozen seafood mix,1,0
1253,red paprika,1,0
1254,pack basil,1,0
1255,bouillon broth powder,1,0
1256,refogado,1,0
1257,firm-fleshed,1,0
1258,fresh spinach,1,0
1259,soda water,1,0
1260,white bread,2,0
1261,freshly grounded black pepper,1,0
1262,crown roast of pork,1,0
1263,uncle ben's,1,0
1264,rich fish,1,0
1265,freshly ground coarse black pepper,2,0
1266,short-grained rice,1,0
1267,shellfish stock,1,0
1268,frzn peas,4,0
1269,spanish hot paprika,1,0
1270,lean pork loin,1,0
1271,california halibut filet,1,0
1272,seedless chili flakes,1,0
1273,grapeseed oil,5,0
1274,white-wine vinegar,1,0
1275,purple,1,0
1276,bunches arugula,1,0
1277,cucumber,2,0
1278,generous good quality saffron thread,1,0
1279,cajun,2,0
1280,handful of wood chips,1,0
1281,sazon,2,0
1282,chicken broth +,1,0
1283,chicken livers,2,0
1284,chicken gizzards,1,0
1285,bell,1,0
1286,knuckles,1,0
1287,liters boiling hot chicken,1,0
1288,colossal shrimp,1,0
1289,short grain paella rice,2,0
1290,worcestershire sauce,3,0
1291,creole seasoning,4,0
1292,okra,2,0
1293,horseradish,2,0
1294,file gumbo seasoning,1,0
1295,orange roughy,1,0
1296,liters boiling chicken stock,1,0
1297,'s seasoning,1,0
1298,baby scallops,2,0
1299,checks,1,0
1300,piri sauce,1,0
1301,hour before,1,0
1302,cocoa,1,0
1303,whole black peppercorns,2,0
1304,salt pork,3,0
1305,coriander ground,2,0
1306,rice washed,1,0
1307,water boiling,1,0
1308,directions,1,0
1309,liters water,2,0
1310,curry,4,0
1311,green chili pepper,1,0
1312,bermuda onion,1,0
1313,deli smoked ham,1,0
1314,fresh lima beans,2,0
1315,fresh chili peppers,1,0
1316,vegetable or chicken,1,0
1317,shell mussels,1,0
1318,linguica,1,0
1319,shrimp/chicken,1,0
1320,turmeric ground,1,0
1321,bone broth,1,0
1322,sirloin steak,1,0
1323,beef flavor rice,1,0
1324,long-grain minute rice,1,0
1325,red currant,1,0
1326,mixed seasonings,1,0
1327,cubes,4,0
1328,manzanilla,1,0
1329,freshly cracked black pepper,2,0
1330,serrano chiles,2,0
1331,yellow cherry tomatoes,1,0
1332,red radishes,1,0
1333,l,3,0
1334,bijol powder,1,0
1335,parsley leaves,1,0
1336,steamed mussels,1,0
1337,seafood guy will always,1,0
1338,whole cloves,1,0
1339,corn syrup,1,0
1340,steen's,1,0
1341,white vinegar,2,0
1342,julienned red onions,1,0
1343,hard cider,1,0
1344,lager,1,0
1345,juniper berries,1,0
1346,sauerkraut,1,0
1347,light brown sugar,1,0
1348,rye,1,0
1349,beef fillet,1,0
1350,bass,2,0
1351,curly parsley,1,0
1352,serranos,1,0
1353,white sesame seeds,1,0
1354,herbes,1,0
1355,sauvignon,1,0
1356,green spanish olives,2,0
1357,green asparagus,1,0
1358,shrimp king,1,0
1359,aspen,1,0
1360,*,1,0
1361,short ribs,1,0
1362,korean red bean paste,1,0
1363,mirin,1,0
1364,rice vinegar,3,0
1365,sambal,2,0
1366,guy,1,0
1367,julienne carrot,1,0
1368,roasting chickens,2,0
1369,rack pork spareribs,1,0
1370,strands,1,0
1371,crumbled saffron,2,0
1372,frozen organic peas,2,0
1373,red wine vinegar,3,0
1374,red hot pepper sauce optional,1,0
1375,ham cooked,1,0
1376,packageyellow saffron rice mix,1,0
1377,shrimp still,1,0
1378,medium grain brown rice,1,0
1379,notes,2,0
1380,chicken pcs,1,0
1381,count,1,0
1382,fresh red chile pepper,1,0
1383,starchy,1,0
1384,red beans,1,0
1385,ditalini,1,0
1386,crusty,1,0
1387,pecorino,1,0
1388,sweet yellow peppers,2,0
1389,vidalia onions,3,0
1390,lite coconut milk,1,0
1391,vinegar dressing,1,0
1392,red chili powder,1,0
1393,black mustard seed,1,0
1394,cold cooked rice,2,0
1395,pumpkin seeds,1,0
1396,norwegian cooked,1,0
1397,giant prawns,1,0
1398,sweet chorizo,1,0
1399,fillet steak,1,0
1400,level tsp mild chilli pwdr,1,0
1401,red peppers oil,1,0
1402,pack chorizo sausage,1,0
1403,level tbsp tomato paste,1,0
1404,beef,2,0
1405,thread saffron,1,0
1406,frozen baby lima beans,2,0
1407,valencian short grain rice,1,0
1408,arbol,1,0
1409,spring garlics,1,0
1410,fresh prawns,1,0
1411,fresh herbs,2,0
1412,white basmati rice,1,0
1413,liqueur,1,0
1414,spanish beer,1,0
1415,cajun spice mix,1,0
1416,crayfish tail meat,1,0
1417,fresh italian,1,0
1418,chili pwdr,2,0
1419,onion pwdr,2,0
1420,broad beans,1,0
1421,shallow pan,1,0
1422,granules,1,0
1423,red and,2,0
1424,artichokes tender,1,0
1425,chili paste,1,0
1426,morels,1,0
1427,sticky rice,1,0
1428,ginger root,2,0
1429,finger chilies,1,0
1430,soya sauce,1,0
1431,chinese rice wine,1,0
1432,deli,1,0
1433,fresh fennel bulbs,1,0
1434,chestnuts,1,0
1435,chicken soup stock,1,0
1436,sutter,2,0
1437,freshly made bread crumbs,1,0
1438,thin slices yellow onion,1,0
1439,sourdough rolls,2,0
1440,tomato slices,2,0
1441,serrano ham,2,0
1442,pollock,1,0
1443,frozen octopus,1,0
1444,bouquet garni,2,0
1445,tortillas,1,0
1446,mixed peppers,1,0
1447,green leaves,1,0
1448,leak,1,0
1449,flour tortillas,2,0
1450,spanish-flavor,1,0
1451,fluid turkey sausage,1,0
1452,grain brown rice,1,0
1453,pilaf rice,1,0
1454,extra chicken,1,0
1455,handful fresh basil,1,0
1456,mace,1,0
1457,pinches saffron,1,0
1458,pints,1,0
1459,open,1,0
1460,weight soyrizo,1,0
1461,angel hair,1,0
1462,catfish fillet,1,0
1463,freshly ground white pepper,5,0
1464,freshly chopped,1,0
1465,lemon aioli,4,0
1466,vermicelli noodles,1,0
1467,woody stems,1,0
1468,regular olive oil,1,0
1469,frozen prawns,1,0
1470,cold cooked pork,1,0
1471,palacios,1,0
1472,jamon serrano,1,0
1473,sherry sweet,1,0
1474,chicken base,1,0
1475,onions spanish,1,0
1476,sweet bell peppers,1,0
1477,coriander chopped,1,0
1478,salad dressing,1,0
1479,tilapia fillets,2,0
1480,fresh spinach leaves,1,0
1481,manilla clams,1,0
1482,pork belly,1,0
1483,chicken cubes,1,0
1484,frankfurters,2,0
1485,rice white,1,0
1486,pack of schwarts spanish smoked paprika chicken sauce pack,1,0
1487,just under,1,0
1488,like,1,0
1489,veal cutlets,1,0
1490,long grained rice,1,0
1491,european cucumber,1,0
1492,arugula,1,0
1493,crunchy,1,0
1494,fresh garrofo,1,0
1495,tavella beans,1,0
1496,purchased oil,1,0
1497,angel hair pasta,1,0
1498,mushroom broth,1,0
1499,fresh asparagus,1,0
1500,long-grain brown rice,1,0
1501,low-fat,1,0
1502,ancho chiles,2,0
1503,bunches basil,1,0
1504,romano beans,1,0
1505,garlic mayonnaise,1,0
1506,thin strips roasted red bell pepper,1,0
1507,liquid smoke,1,0
1508,firm,1,0
1509,dried chili pepper,1,0
1510,wasabi paste,1,0
1511,sack,1,0
1512,red chilli,1,0
1513,italian short-grain rice,1,0
1514,well,1,0
1515,weipa,1,0
1516,filet,1,0
1517,chicken consomme,1,0
1518,-mussels,1,0
1519,turineric,1,0
1520,recipe aioli,1,0
1521,bay,1,0
1522,spanish short-grain,1,0
1523,fresh artichoke,1,0
1524,choke,1,0
1525,weight pepperoni,1,0
1526,freshly ground salt,1,0
1527,achiote oil,2,0
1528,alcaparrado,1,0
1529,'s,1,0
1530,italian frying peppers,1,0
1531,culantro,1,0
1532,pigeons,1,0
1533,freshly grnd black pepper,1,0
1534,pork butt,1,0
1535,head-on shrimp,1,0
1536,ancho powder,1,0
1537,lobsters claws,1,0
1538,noir,1,0
1539,chicken ground,1,0
1540,flat-leaf italian parsley,1,0
1541,edamame beans,1,0
1542,bacon rashers,1,0
1543,beef stock,1,0
1544,canwater-pack artichoke hearts,1,0
1545,grouper fillet,1,0
1546,pepperoncini,1,0
1547,canquartered artichoke,1,0
1548,chop red onion,1,0
1549,snow crab claws,1,0
1550,italian canned tomatoes,1,0
1551,fresh sage,1,0
1552,paella spice blend,1,0
1553,cognac,1,0
1554,pack rice noodles,1,0
1555,short-grain calaspara rice,1,0
1556,red tomato,1,0
1557,cooked crabmeat,1,0
1558,allspice,1,0
1559,light extra virgin olive oil,1,0
1560,jalapeno -,1,0
1561,chile pwdr,1,0
1562,salsa layer,1,0
1563,sherry wine vinegar,3,0
1564,mustard,2,0
1565,sazon goya with azafran,1,0
1566,clove smoked garlic,1,0
1567,sweet spanish type paprika,1,0
1568,fresh herb vinaigrette,1,0
1569,ground lean pork,1,0
1570,cider vinegar,1,0
1571,ruce,1,0
1572,edemame beans,1,0
1573,poupon,1,0
1574,pork loin chops,1,0
1575,pimiento strips,1,0
1576,saffron stems,1,0
1577,ouzo,1,0
1578,cajun rice,1,0
1579,fresh coarse ground black pepper,1,0
1580,skin,2,0
1581,italian-style tomatoes,1,0
1582,littlenecks,1,0
1583,cumin ground,1,0
1584,black tea,1,0
1585,red chili,1,0
1586,cannellini,1,0
1587,angel-hair pasta,1,0
1588,pigeon peas,1,0
1589,brussels,1,0
1590,garlic oil,1,0
1591,paprika powder,1,0
1592,caraway seeds,1,0
1593,pork knuckles,1,0
1594,eating apples,1,0
1595,baking potatoes,1,0
1596,amber,1,0
1597,lemon's worth,1,0
1598,ancho chili,1,0
1599,english-petit peas,1,0
1600,seafood mix,1,0
1601,rockfish,1,0
1602,white chicken,1,0
1603,chicken leg quarters,1,0
1604,neck,1,0
1605,rice short grain,1,0
1606,sweet rice,1,0
1607,long-grained rice,1,0
1608,white wine...,1,0
1609,saffron...,1,0
1610,sherry wine,1,0
1611,ground pork,1,0
1612,almonds blanched,1,0
1613,chocolate,1,0
1614,chicken breast cutlets,1,0
1615,generous handful,1,0
1616,rolled oatmeal,1,0
1617,fruit paella,1,0
1618,dipping sauce,1,0
1619,achiote seeds,1,0
1620,spanish style chorizo links,1,0
1621,red ripe tomatoes,1,0
1622,laurel leaves,1,0
1623,short-to-medium,1,0
1624,frozen sweet,1,0
1625,tabasco,1,0
1626,olive oil spray,1,0
1627,morel mushrooms,1,0
1628,butterfish,1,0
1629,chinese sausage,1,0
1630,tumeric,1,0
1631,chilean bass,1,0
1632,bird chiles,1,0
1633,pods,1,0
1634,mixed seafood selection,1,0
1635,three,1,0
1636,stem saffron,1,0
1637,turkish,1,0
1638,thin breadsticks,1,0
1639,shrimp shell stock,1,0
1640,lebanese cucumber,1,0
1641,wild rocket,1,0
1642,ground,1,0
1643,chunky salsa,1,0
1644,dark red kidney beans,1,0
1645,live,2,0
1646,roaster chicken,1,0
1647,ground ginger,1,0
1648,orange-flower water,1,0
1649,store-bought phyllo dough,1,0
1650,italian seasoned breadcrumbs,1,0
1651,vegetarian sausages,1,0
1652,vegetable stock warm,1,0
1653,shrimp prawns,1,0
1654,clams live,1,0
1655,garlic mashed,1,0
1656,pimentos sweet,1,0
1657,sausage italian,1,0
1658,hot seasoning,1,0
1659,whiting,1,0
1660,pattern,1,0
1661,scallions salt,1,0
1662,recipe ajo,1,0
1663,saffron sprigs,1,0
1664,extra virgin,1,0
1665,garlic smashed,1,0
1666,additional stock,1,0
1667,sage,1,0
1668,oilive oil,1,0
1669,cracked black,1,0
1670,ham slices,1,0
1671,berries,1,0
1672,medium-grain rice,1,0
1673,button mushrooms,1,0
1674,chipotle powder,1,0
1675,cactus salsa,1,0
1676,poblano,1,0
1677,tequila,1,0
1678,blanco tequila,1,0
1679,basmati brown rice,1,0
1680,boneless strip steak,1,0
1681,paella rice salad,1,0
1682,red potatoes,1,0
1683,peeled carrot,1,0
1684,quartered artichoke,1,0
1685,grilled chorizo,1,0
1686,mackerel,1,0
1687,paella base,1,0
1688,pumpkinseeds,1,0
1689,hake fillets,1,0
1690,mediterranean vegetables,1,0
1691,spaghetti sauce mix,1,0
1692,warm pepper,1,0
1693,merguez,1,0
1694,garlic sausage,1,0
1695,spanish short-grain rice,1,0
1696,sole fillets,1,0
